id,pclass,survived,sex,age,sibsp,parch,ticket,fare,cabin,embarked
0,3,0,male,24,0,0,SOTON/O.Q. 3101311,7.05,,S
1,3,0,male,,0,0,359306,8.05,,S
2,3,0,male,,0,0,368323,6.95,,Q
3,3,0,male,,0,0,315037,8.6625,,S
4,1,1,male,49,1,0,PC 17485,56.9292,A20,C
5,1,0,male,24,0,0,PC 17593,79.2,B86,C
6,1,1,female,14,1,2,113760,120,B96 B98,S
7,2,0,male,38,1,0,28664,21,,S
8,3,0,male,22,0,0,324669,8.05,,S
9,2,1,female,18,0,1,231919,23,,S
10,2,0,male,,0,0,SC/PARIS 2131,15.05,,C
11,1,1,female,,0,0,PC 17598,31.6833,,S
12,1,1,male,26,0,0,111369,30,C148,C
13,2,1,female,5,1,2,C.A. 34651,27.75,,S
14,1,1,male,25,1,0,11765,55.4417,E50,C
15,1,0,male,,0,0,PC 17318,25.925,,S
16,3,1,female,0.1667,1,2,C.A. 2315,20.575,,S
17,2,1,female,31,0,0,CA 31352,21,,S
18,3,1,female,29,0,2,2650,15.2458,,C
19,2,1,female,25,0,1,230433,26,,S
20,3,0,male,,0,0,2684,7.225,,C
21,2,1,female,34,0,1,231919,23,,S
22,3,0,male,2,3,1,349909,21.075,,S
23,3,0,male,,0,0,330877,8.4583,,Q
24,3,0,female,21,1,0,4137,9.825,,S
25,3,0,male,28.5,0,0,54636,16.1,,S
26,3,0,male,28,2,0,3101277,7.925,,S
27,2,1,female,29,1,0,228414,26,,S
28,3,0,female,16,5,2,CA 2144,46.9,,S
29,2,1,female,4,1,1,29103,23,,S
30,1,1,female,22,0,1,113509,61.9792,B36,C
31,1,1,female,27,1,2,F.C. 12750,52,B71,S
32,1,1,female,36,1,2,113760,120,B96 B98,S
33,3,0,male,4,4,1,382652,29.125,,Q
34,3,1,male,4,1,1,347742,11.1333,,S
35,2,0,male,22,2,0,C.A. 31029,31.5,,S
36,3,0,male,35,0,0,349230,7.8958,,S
37,3,1,female,26,0,0,347470,7.8542,,S
38,3,0,male,25,0,0,2672,7.225,,C
39,1,1,female,39,1,1,17421,110.8833,C68,C
40,1,1,female,47,1,1,11751,52.5542,D35,S
41,3,0,female,9,2,2,W./C. 6608,34.375,,S
42,3,0,male,22,0,0,STON/O 2. 3101275,7.125,,S
43,3,1,male,20,1,0,STON/O 2. 3101285,7.925,,S
44,3,0,male,11.5,1,1,A/5. 851,14.5,,S
45,1,0,male,64,1,0,110813,75.25,D37,C
46,1,0,male,28.5,0,0,PC 17562,27.7208,D43,C
47,3,0,male,32,0,0,STON/OQ. 369943,8.05,,S
48,3,1,male,7,1,1,2650,15.2458,,C
49,3,1,female,38,0,0,2688,7.2292,,C
50,3,0,male,,0,0,2673,7.2292,,C
51,1,1,female,36,0,0,PC 17608,262.375,B61,C
52,3,1,male,27,0,0,315098,8.6625,,S
53,1,1,female,40,1,1,16966,134.5,E34,C
54,1,1,male,35,0,0,PC 17475,26.2875,E24,S
55,3,0,male,,0,0,366713,7.75,,Q
56,3,0,male,,0,0,SOTON/O.Q. 3101314,7.25,,S
57,3,1,female,22,0,0,347081,7.75,,S
58,3,0,male,,0,0,C.A. 42795,7.55,,S
59,3,0,male,7,4,1,3101295,39.6875,,S
60,3,0,male,21,0,0,A/4 45380,8.05,,S
61,2,0,male,42,0,0,211535,13,,S
62,3,1,male,32,0,0,350417,7.8542,,S
63,3,0,male,26,0,0,3474,7.8875,,S
64,3,0,male,27,0,0,349219,7.8958,,S
65,3,0,female,29,0,0,3101297,7.925,,S
66,3,0,male,26.5,0,0,2656,7.225,,C
67,3,0,female,24,0,0,368702,7.75,,Q
68,2,0,male,18.5,0,0,248734,13,F,S
69,3,1,male,27,0,0,347089,6.975,,S
70,3,0,female,,0,0,330909,7.6292,,Q
71,3,0,female,,1,9,CA. 2343,69.55,,S
72,2,0,male,19,0,0,28424,13,,S
73,3,1,male,,0,0,2677,7.2292,,C
74,1,1,female,18,0,2,110413,79.65,E68,S
75,3,0,female,18,0,1,2691,14.4542,,C
76,2,1,female,27,1,0,SC/PARIS 2149,13.8583,,C
77,3,0,male,36,0,0,349210,7.4958,,S
78,1,1,female,45,0,0,PC 17608,262.375,,C
79,3,1,female,31,1,1,363291,20.525,,S
80,1,0,female,2,1,2,113781,151.55,C22 C26,S
81,3,0,male,23,0,0,7267,9.225,,S
82,3,0,male,18,1,1,350404,7.8542,,S
83,3,1,female,,1,0,386525,16.1,,S
84,3,1,female,5,0,0,364516,12.475,,S
85,3,1,female,19,0,0,330958,7.8792,,Q
86,3,0,male,20,0,0,350050,7.8542,,S
87,3,0,male,47,0,0,345765,9,,S
88,3,1,male,,1,1,2668,22.3583,,C
89,3,1,female,35,1,1,C.A. 2673,20.25,,S
90,1,1,male,36,0,1,PC 17755,512.3292,B51 B53 B55,C
91,3,1,female,,0,0,36568,15.5,,Q
92,3,0,male,26,0,0,349224,7.8958,,S
93,3,0,male,27,1,0,2659,14.4542,,C
94,1,0,male,37,0,1,PC 17596,29.7,C118,C
95,1,1,female,33,1,0,19928,90,C78,Q
96,3,1,female,47,1,0,363272,7,,S
97,3,0,female,32,1,1,364849,15.5,,Q
98,1,1,male,31,0,0,2543,28.5375,C53,C
99,3,0,male,21,0,0,350029,7.8542,,S
100,1,0,male,,0,0,113028,26.55,C124,S
101,1,1,male,36,1,2,113760,120,B96 B98,S
102,1,0,male,,0,0,PC 17757,227.525,,C
103,3,0,male,47,0,0,A/5 3902,7.25,,S
104,3,1,female,,0,0,330959,7.8792,,Q
105,3,1,male,,0,0,3470,7.8875,,S
106,2,0,male,26,0,0,237670,13,,S
107,3,1,male,9,0,2,363291,20.525,,S
108,3,0,female,35,0,0,9232,7.75,,Q
109,3,0,male,28,1,0,STON/O2. 3101279,15.85,,S
110,3,1,female,1,1,1,PP 9549,16.7,G6,S
111,3,0,female,47,1,0,A/5. 3337,14.5,,S
112,2,0,male,29,0,0,W./C. 14263,10.5,,S
113,3,0,male,19,0,0,349212,7.8958,,S
114,2,1,female,34,1,1,28220,32.5,,S
115,2,0,male,30,1,0,CA 31352,21,,S
116,2,0,male,34,0,0,250647,13,,S
117,3,1,male,21,0,0,345501,7.775,,S
118,3,0,male,35,0,0,373450,8.05,,S
119,1,0,male,50,0,0,113044,26,E60,S
120,2,1,female,36,0,3,230136,39,F4,S
121,3,0,female,22,2,0,315152,8.6625,,S
122,3,0,male,39,0,0,3101296,7.925,,S
123,3,0,male,25,1,0,347076,7.775,,S
124,3,0,male,19,0,0,349231,7.8958,,S
125,3,1,male,,0,0,312991,7.775,,S
126,3,0,male,41,0,0,SOTON/O2 3101272,7.125,,S
127,1,1,female,44,0,1,111361,57.9792,B18,C
128,1,1,female,41,0,0,16966,134.5,E40,C
129,2,0,male,21,1,0,28133,11.5,,S
130,3,0,male,30,1,0,A/5. 3336,16.1,,S
131,3,0,female,29,0,4,349909,21.075,,S
132,3,0,male,,0,0,A/S 2816,8.05,,S
133,1,0,male,,0,0,113767,50,A32,S
134,2,0,male,25,1,2,SC/Paris 2123,41.5792,,C
135,2,1,male,3,1,1,230080,26,F2,S
136,2,0,male,32,0,0,C.A. 33111,10.5,,S
137,3,1,female,15,0,0,330923,8.0292,,Q
138,3,0,male,,0,0,2676,7.225,,C
139,3,0,male,31,0,0,21332,7.7333,,Q
140,1,1,female,58,0,0,PC 17569,146.5208,B80,C
141,2,0,male,,0,0,239853,0,,S
142,3,1,female,16,0,0,348125,7.65,,S
143,2,0,male,23,0,0,233639,13,,S
144,1,1,female,23,3,2,19950,263,C23 C25 C27,S
145,3,0,male,18,0,0,349912,7.775,,S
146,2,0,male,49,1,2,220845,65,,S
147,3,0,male,32,0,0,8471,8.3625,,S
148,3,0,female,14.5,1,0,2665,14.4542,,C
149,1,1,male,34,0,0,113794,26.55,,S
150,1,1,female,22,0,0,113781,151.55,,S
151,3,0,male,22,0,0,347065,7.775,,S
152,1,1,male,52,0,0,113786,30.5,C104,S
153,3,0,male,34,0,0,3101264,6.4958,,S
154,3,1,female,,0,0,330931,7.8792,,Q
155,3,0,male,28,0,0,392095,7.25,,S
156,3,0,male,,0,0,349220,7.8958,,S
157,1,1,female,16,0,1,PC 17592,39.4,D28,S
158,3,0,male,20,0,0,6563,9.225,,S
159,1,1,male,42,1,0,11753,52.5542,D19,S
160,2,1,female,40,0,0,C.A. 33595,15.75,,S
161,2,0,male,37,1,0,SC/AH 29037,26,,S
162,3,0,male,26,1,0,2680,14.4542,,C
163,3,0,male,17,2,0,A/4 48873,8.05,,S
164,1,1,female,23,1,0,21228,82.2667,B45,S
165,3,1,female,31,0,0,349244,8.6833,,S
166,3,0,female,3,1,1,SOTON/O.Q. 3101315,13.775,,S
167,3,0,male,,0,0,376563,8.05,,S
168,3,1,female,14,1,0,2651,11.2417,,C
169,2,0,male,36,0,0,SC/Paris 2163,12.875,D,C
170,3,0,male,24,0,0,350035,7.7958,,S
171,3,1,male,25,0,0,2654,7.2292,F E57,C
172,3,1,female,,2,0,367226,23.25,,Q
173,3,1,female,,0,0,335432,7.7333,,Q
174,2,1,male,19,0,0,SW/PP 751,10.5,,S
175,1,1,female,28,3,2,19950,263,C23 C25 C27,S
176,3,0,male,,0,0,392092,8.05,,S
177,2,1,female,50,0,1,230433,26,,S
178,3,0,female,37,0,0,368364,7.75,,Q
179,3,0,male,6,1,1,2678,15.2458,,C
180,1,1,female,30,0,0,36928,164.8667,C7,S
181,3,0,male,,0,0,32302,8.05,,S
182,1,0,male,37,1,0,113803,53.1,C123,S
183,2,0,male,21,0,0,29107,11.5,,S
184,3,0,male,33,0,0,7540,8.6542,,S
185,3,0,male,31,3,0,345763,18,,S
186,3,1,female,0.75,2,1,2666,19.2583,,C
187,1,1,female,27,1,1,PC 17558,247.5208,B58 B60,C
188,3,0,male,44,0,1,371362,16.1,,S
189,1,1,female,,1,0,PC 17611,133.65,,S
190,1,1,female,21,0,0,13502,77.9583,D9,S
191,3,1,female,1,0,2,2653,15.7417,,C
192,1,1,female,18,1,0,PC 17757,227.525,C62 C64,C
193,3,1,female,,0,0,383123,7.75,,Q
194,3,1,male,32,0,0,STON/O 2. 3101286,7.925,,S
195,3,0,male,40.5,0,0,367232,7.75,,Q
196,3,1,male,25,0,0,350033,7.7958,,S
197,3,0,male,40.5,0,0,C.A. 6212,15.1,,S
198,2,0,male,43,0,1,S.O./P.P. 2,21,,S
199,3,0,male,40.5,0,2,A/5. 851,14.5,,S
200,3,0,male,,1,0,65304,19.9667,,S
201,1,0,male,46,0,0,PC 17585,79.2,,C
202,1,1,male,54,1,0,11778,55.4417,C116,C
203,3,1,male,1,1,2,C.A. 2315,20.575,,S
204,2,0,male,23,0,0,244278,10.5,,S
205,2,1,female,32,0,0,234604,13,,S
206,3,0,female,,0,0,330924,7.8792,,Q
207,2,0,male,23,1,0,28666,10.5,,S
208,2,1,male,20,0,0,SC/PARIS 2166,13.8625,D38,C
209,3,0,female,2,0,1,347054,10.4625,G6,S
210,3,0,male,,0,0,368703,7.75,,Q
211,2,0,female,,0,0,F.C.C. 13534,21,,S
212,1,0,male,,0,0,112058,0,B102,S
213,2,1,male,0.6667,1,1,250649,14.5,,S
214,1,0,male,45,1,0,36973,83.475,C83,S
215,3,1,male,45,0,0,7598,8.05,,S
216,1,1,female,23,1,0,35273,113.275,D36,C
217,2,1,female,,0,0,248727,33,,S
218,2,0,male,25,0,0,234686,13,,S
219,3,0,male,14.5,8,2,CA. 2343,69.55,,S
220,2,0,male,39,0,0,28213,13,,S
221,3,0,male,42,0,0,315088,8.6625,,S
222,1,1,male,45,0,0,PC 17594,29.7,A9,C
223,3,1,female,,0,0,330980,7.8792,,Q
224,3,0,male,,0,0,A/5 1478,8.05,,S
225,2,1,male,,0,0,SC/PARIS 2146,13.8625,,C
226,1,0,male,,0,0,113056,26,A19,S
227,3,0,male,16,0,0,345778,9.5,,S
228,1,1,male,36,0,0,PC 17473,26.2875,E25,S
229,3,0,male,11,0,0,2699,18.7875,,C
230,3,0,female,45,0,0,347073,7.75,,S
231,3,0,male,17,0,0,315093,8.6625,,S
232,3,0,female,39,1,5,347082,31.275,,S
233,1,0,male,42,0,0,110489,26.55,D22,S
234,3,0,male,36,0,0,A/5 21175,7.25,,S
235,3,0,male,,0,0,334912,7.7333,,Q
236,2,0,male,34,1,0,226875,26,,S
237,1,1,female,24,0,0,11767,83.1583,C54,C
238,1,1,male,,0,0,PC 17607,39.6,,S
239,1,1,female,53,0,0,PC 17606,27.4458,,C
240,3,0,male,30,0,0,C 7076,7.25,,S
241,3,1,male,44,0,0,STON/O 2. 3101269,7.925,,S
242,3,1,male,31,0,0,STON/O 2. 3101288,7.925,,S
243,3,0,male,33,0,0,345780,9.5,,S
244,2,0,male,,0,0,239855,0,,S
245,3,1,male,39,0,0,STON/O 2. 3101289,7.925,,S
246,3,0,male,,1,0,2689,14.4583,,C
247,2,0,male,32.5,1,0,237736,30.0708,,C
248,3,0,male,,0,0,2622,7.2292,,C
249,1,1,female,,0,1,113505,55,E33,S
250,2,0,male,32,0,0,237216,13.5,,S
251,3,0,male,20,0,0,347466,7.8542,,S
252,3,0,male,,0,0,368573,7.75,,Q
253,3,0,male,31,0,0,347063,7.775,,S
254,1,1,female,43,0,1,24160,211.3375,B3,S
255,3,1,female,18,0,1,392091,9.35,,S
256,1,1,female,64,0,2,PC 17756,83.1583,E45,C
257,3,0,female,27,0,0,330844,7.8792,,Q
258,2,0,male,63,1,0,24065,26,,S
259,3,0,female,21,0,0,364846,7.75,,Q
260,3,0,male,27,0,0,349229,7.8958,,S
261,3,1,female,9,1,1,2650,15.2458,,C
262,3,0,male,32,0,0,STON/O 2. 3101292,7.925,,S
263,2,0,male,24,2,0,C.A. 31029,31.5,,S
264,3,0,female,25,0,0,347071,7.775,,S
265,3,0,male,,0,0,372622,7.75,,Q
266,3,0,male,22,0,0,2669,7.2292,,C
267,3,1,male,25,1,0,347083,7.775,,S
268,1,0,male,46,1,0,W.E.P. 5734,61.175,E31,S
269,2,0,female,27,1,0,11668,21,,S
270,3,0,male,20,0,0,SOTON/O2 3101287,7.925,,S
271,2,0,male,54,0,0,29011,14,,S
272,1,1,female,30,0,0,110152,86.5,B77,S
273,2,1,male,2,1,1,29103,23,,S
274,3,0,male,29,0,0,7545,9.4833,,S
275,3,0,male,,1,0,367229,7.75,,Q
276,1,1,female,50,1,1,113503,211.5,C80,C
277,3,0,male,18,1,0,2680,14.4542,,C
278,1,0,male,42,0,0,17475,26.55,,S
279,3,0,male,30,0,0,349246,7.8958,,S
280,3,1,male,29,0,0,345779,9.5,,S
281,3,1,female,,0,0,342712,8.05,,S
282,3,1,female,18,0,0,A/4 31416,8.05,,S
283,3,0,male,20,0,0,2648,4.0125,,C
284,1,1,female,,1,0,PC 17569,146.5208,B78,C
285,3,0,male,43,0,0,349226,7.8958,,S
286,1,1,female,39,1,0,13507,55.9,E44,S
287,3,0,male,28,0,0,347464,7.8542,,S
288,1,1,female,,0,0,17770,27.7208,,C
289,3,1,female,4,1,1,PP 9549,16.7,G6,S
290,3,0,male,38,0,0,315089,8.6625,,S
291,3,0,male,20,0,0,2679,7.225,,C
292,3,0,male,,8,2,CA. 2343,69.55,,S
293,2,0,male,52,0,0,248731,13.5,,S
294,1,1,female,32,0,0,11813,76.2917,D15,C
295,3,0,male,20,0,0,345769,9.5,,S
296,3,0,male,,0,0,LP 1588,7.575,,S
297,3,0,male,10,3,2,347088,27.9,,S
298,2,0,female,24,0,0,248747,13,,S
299,1,0,male,55,0,0,113787,30.5,C30,S
300,1,1,female,38,0,0,113572,80,B28,
301,3,0,male,,0,0,343271,7,,S
302,3,1,male,25,0,0,348122,7.65,F G63,S
303,3,0,male,,0,0,A./5. 3235,8.05,,S
304,1,1,male,49,0,0,112058,0,B52 B54 B56,S
305,3,1,male,25,0,0,345768,9.5,,S
306,3,1,female,23,0,0,SOTON/OQ 392083,8.05,,S
307,2,0,male,,0,0,239854,0,,S
308,2,0,male,30,0,0,248744,13,,S
309,2,1,female,30,0,0,234818,12.35,,Q
310,3,0,male,41,0,0,SOTON/O.Q. 3101263,7.85,,S
311,1,0,male,40,0,0,PC 17601,27.7208,,C
312,1,1,female,17,1,0,17474,57,B20,S
313,3,1,male,25,0,0,LINE,0,,S
314,3,0,male,,0,0,349223,7.8958,,S
315,3,0,male,65,0,0,336439,7.75,,Q
316,3,1,female,,0,0,330919,7.8292,,Q
317,1,0,male,31,1,0,F.C. 12750,52,B71,S
318,2,0,male,25,1,0,236853,26,,S
319,2,1,female,24,0,2,250649,14.5,,S
320,3,0,male,7,4,1,382652,29.125,,Q
321,2,1,male,29,0,0,SC/PARIS 2147,13.8583,,C
322,1,0,male,61,0,0,111240,33.5,B19,S
323,1,0,male,49,1,1,17421,110.8833,C68,C
324,2,0,male,27,1,0,228414,26,,S
325,1,0,male,,0,0,113798,31,,S
326,3,0,male,22,0,0,345767,9,,S
327,3,0,female,,0,0,364498,14.5,,S
328,3,0,male,,0,0,AQ/4 3130,7.75,,Q
329,3,1,male,29,3,1,315153,22.025,,S
330,1,0,male,65,0,1,113509,61.9792,B30,C
331,2,1,male,,0,0,244373,13,,S
332,3,0,male,51,0,0,347743,7.0542,,S
333,2,1,female,48,0,2,C.A. 33112,36.75,,S
334,3,0,female,25,1,0,STON/O2. 3101271,7.925,,S
335,1,0,male,61,1,3,PC 17608,262.375,B57 B59 B63 B66,C
336,3,0,male,,0,0,S.C./A.4. 23567,8.05,,S
337,1,1,male,,0,0,111163,26,,S
338,3,1,female,,0,0,2626,7.2292,,C
339,3,0,male,32,0,0,STON/O 2. 3101293,7.925,,S
340,3,1,male,,0,0,1601,56.4958,,S
341,1,0,male,31,0,0,PC 17590,50.4958,A24,S
342,3,0,male,40,0,0,2623,7.225,,C
343,3,1,female,27,0,1,392096,12.475,E121,S
344,2,1,female,45,0,2,237789,30,,S
345,3,0,female,17,0,0,2627,14.4583,,C
346,2,1,male,24,0,0,28034,10.5,,S
347,1,0,male,,0,0,17463,51.8625,E46,S
348,1,0,male,39,1,0,PC 17599,71.2833,C85,C
349,3,0,male,,0,0,12460,7.75,,Q
350,3,0,female,,0,0,364856,7.75,,Q
351,1,1,female,26,1,0,13508,136.7792,C89,C
352,3,1,female,16,0,0,367231,7.75,,Q
353,2,0,male,34,0,0,12233,13,,S
354,2,0,male,18,0,0,29108,11.5,,S
355,3,0,male,,1,0,2621,6.4375,,C
356,3,0,male,23,1,0,347072,13.9,,S
357,2,1,female,7,0,2,F.C.C. 13529,26.25,,S
358,3,1,male,39,0,1,349256,13.4167,,C
359,1,0,male,39,0,0,PC 17580,29.7,A18,C
360,3,0,female,,8,2,CA. 2343,69.55,,S
361,2,1,female,30,1,0,SC/PARIS 2148,13.8583,,C
362,3,1,male,,0,0,65306,8.1125,,S
363,2,0,male,31,0,0,C.A. 18723,10.5,,S
364,3,1,female,19,1,1,2653,15.7417,,C
365,3,0,female,19,1,0,376566,16.1,,S
366,3,0,male,,0,0,323592,7.25,,S
367,3,1,female,18,0,0,3101265,7.4958,,S
368,3,0,male,9,4,2,347077,31.3875,,S
369,3,1,male,9,0,1,C 17368,3.1708,,S
370,2,1,female,22,1,1,248738,29,,S
371,1,0,male,,0,0,113796,42.4,,S
372,2,1,male,1,0,2,S.C./PARIS 2079,37.0042,,C
373,1,0,male,24,0,1,PC 17558,247.5208,B58 B60,C
374,2,1,male,42,0,0,237798,13,,S
375,2,0,male,24,2,0,S.O.C. 14879,73.5,,S
376,1,1,female,60,1,0,110813,75.25,D37,C
377,2,1,female,40,1,1,29750,39,,S
378,2,0,male,18,0,0,236171,13,,S
379,3,0,female,18,2,0,345764,18,,S
380,3,0,male,,0,0,349254,7.8958,,C
381,2,0,male,18,0,0,S.O.C. 14879,73.5,,S
382,1,0,male,41,0,0,113054,30.5,A21,S
383,3,0,male,,0,0,2681,6.4375,,C
384,2,0,male,34,1,0,31027,21,,S
385,1,1,female,22,0,2,13568,49.5,B39,C
386,1,0,male,,0,0,113791,26.55,,S
387,3,0,male,,8,2,CA. 2343,69.55,,S
388,3,0,female,45,0,1,2691,14.4542,,C
389,3,1,female,,2,0,367226,23.25,,Q
390,2,1,female,30,0,0,250648,13,,S
391,1,1,male,,0,0,19947,35.5,C52,S
392,3,0,male,18,0,0,347078,7.75,,S
393,3,0,male,55.5,0,0,A.5. 11206,8.05,,S
394,1,1,female,58,0,1,PC 17755,512.3292,B51 B53 B55,C
395,2,1,female,3,1,2,SC/Paris 2123,41.5792,,C
396,3,1,female,22,0,0,7548,8.9625,,S
397,3,0,male,,0,0,371060,7.75,,Q
398,3,1,female,30,0,0,382650,6.95,,Q
399,3,0,male,61,0,0,345364,6.2375,,S
400,2,1,female,24,1,1,S.C./PARIS 2079,37.0042,,C
401,3,0,male,19,0,0,LINE,0,,S
402,2,1,female,2,1,1,26360,26,,S
403,3,1,female,,0,0,14312,7.75,,Q
404,2,1,female,14,1,0,237736,30.0708,,C
405,3,0,male,19,0,0,349228,10.1708,,S
406,3,1,male,29,0,0,349240,7.8958,,C
407,3,0,male,19,0,0,347069,7.775,,S
408,2,0,male,54,0,0,28403,26,,S
409,1,0,male,64,1,4,19950,263,C23 C25 C27,S
410,3,0,male,,0,0,2631,7.225,,C
411,2,0,male,21,0,0,236854,13,,S
412,3,0,female,6,4,2,347082,31.275,,S
413,1,0,male,57,1,1,36928,164.8667,,S
414,1,1,female,31,1,0,35273,113.275,D36,C
415,3,1,female,27,0,0,STON/O2. 3101283,7.925,,S
416,3,0,female,,1,0,2689,14.4583,,C
417,1,0,male,36,1,0,19877,78.85,C46,S
418,3,1,female,18,0,0,347066,7.775,,S
419,3,1,female,,0,2,2668,22.3583,,C
420,1,1,female,52,1,1,12749,93.5,B69,S
421,3,0,male,39,0,0,A/4 48871,24.15,,S
422,3,0,male,21,0,0,350410,7.8542,,S
423,1,1,female,39,1,1,PC 17756,83.1583,E49,C
424,3,0,male,,0,0,370372,7.75,,Q
425,3,0,female,30,0,0,315084,8.6625,,S
426,3,0,male,34.5,0,0,2683,6.4375,,C
427,3,0,male,,0,0,374910,8.05,,S
428,1,1,male,17,0,2,17421,110.8833,C70,C
429,1,1,male,,0,0,111427,26.55,,S
430,3,0,female,30.5,0,0,364850,7.75,,Q
431,1,0,male,65,0,0,13509,26.55,E38,S
432,1,1,female,58,0,0,113783,26.55,C103,S
433,2,0,male,21,1,0,28134,11.5,,S
434,1,0,male,49,0,0,19924,26,,S
435,2,0,male,,0,0,SC/PARIS 2159,12.875,,S
436,3,0,male,37,2,0,3101276,7.925,,S
437,2,0,male,,0,0,239856,0,,S
438,2,1,female,17,0,0,SC 1748,12,,C
439,1,0,male,58,0,0,11771,29.7,B37,C
440,3,1,male,23,0,0,350054,7.7958,,S
441,3,0,male,,0,0,S.O./P.P. 751,7.55,,S
442,3,0,female,,0,2,2678,15.2458,,C
443,3,0,female,26,0,2,SOTON/O.Q. 3101315,13.775,,S
444,3,0,male,17,0,0,349232,7.8958,,S
445,3,1,female,13,0,0,2687,7.2292,,C
446,3,0,male,33,0,0,349239,8.6625,,C
447,3,0,male,,0,0,7935,7.75,,Q
448,3,0,male,,1,0,376564,16.1,,S
449,2,1,male,8,1,1,C.A. 33112,36.75,,S
